Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MI,2016,"12        ",Male,17,Right-Handed,176.7,30.48,176.7,2,Car,20,.411,56,Soccer,500,500,750,750,1000,1000,30.48,,5.08,6.35,"Ring finger",July,Summer,No,No,Soups,Water,"Computers and technology",5,10,3,"Yes - other","Text messaging",100,100,5,1,5,6,2,7,2,12,12,6,0,4,Some,"Graduate degree","Punk rock","Freeze time",Rich,Other,Health
USA,IN,2017,"12        ",Female,17,Right-Handed,163,22,164,1,Car,10,.589,40,Other,800,800,1000,1000,50,300,23,"Left foot",70,80,"Ring finger",February,Fall,No,No,Seafood,Water,"Physical education",7,9,5,"Yes - broadband connection","Text messaging",50,50,5,1,5,10,25,0,10,10,20,2,0,4,"A lot","Graduate degree",Pop,"Freeze time",Happy,"Doctor or nurse",Health
USA,TX,2012,"8         ",Male,13,Right-Handed,175,28,159,2,Car,3,.41,58,"Football (American)",215,501,1000,1000,1000,1000,27,"Right foot",90,90,"Same length",September,Summer,No,No,Other,Water,"Physical education",8,11,4,"Yes - other","Text messaging",400,500,8,0,1,3,9,9,2,3,1,6,7,8,"A lot","Less than high school","Rap/Hip hop","Super strength",Rich,"Sports person","International aid"
USA,CO,2018,"7         ",Male,13,Right-Handed,167,26,166,1,Walk,8,0.724,52,Basketball,700,600,300,400,700,600,26,"Same length",8,9,"Ring finger",July,Summer,No,No,Seafood,Water,"Computers and technology",8,11,4,"Yes - broadband connection","In person",0,0,5,1,1,10,3,15,0,0,10,15,0,1,Some,"Graduate degree",Techno/Electronic,"Freeze time",Rich,Relative,Environment
USA,GU,2014,"9         ",Female,15,Left-Handed,160,20,,2,Bus,20,.499,45,Running/Jogging,513,519,1000,706,1000,1000,23,"Left foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A lot","Graduate degree",Pop,Telepathy,Rich,"Musician or singer","Arts, culture, sports"
USA,NC,2013,"6         ",Female,12,Right-Handed,165,25,71,1,Car,6,1.990,52,Dancing,500,125,680,592,10,1000,26,"Left foot",32.5,35,"Ring finger",October,Spring,Yes,No,Seafood,Tea,Art,9,12,8,"Yes - other","In person",2,2,6,0,1,3,4,2,1,0,2,6,0,4,"A lot","Less than high school",Pop,"Freeze time",Healthy,"Musician or singer","International aid"
USA,AZ,2014,"12        ",Male,17,Left-Handed,177.8,28,173,2,Car,30,0.211,45,"Hockey (Ice)",700,1000,1000,1000,400,500,28,"Same length",8,8,"Same length",March,Summer,Yes,No,Pizza/Pasta,Water,Art,7,10,3,"Yes - broadband connection","In person",30,50,20,2,20,5,20,7,3,3,2,2,3,3,Some,"Graduate degree","Rap/Hip hop",Fly,Famous,Relative,"International aid"
USA,WI,2016,"7         ",Female,12,Right-Handed,,,,2,Bus,10,0.372,47,Other,840,957,283,155,503,594,,,,,,September,Fall,Yes,No,Pizza/Pasta,,Music,7,10,3,"Yes - other","In person",15,28,82,3,14,42,12,35,23,2,84,22,4,67,"A lot","Some college",Techno/Electronic,Telepathy,Happy,Other,Health
USA,PA,2010,"11        ",Female,15,Right-Handed,167,24.5,167,1,Bus,10,.344,53,Tennis,300,100,100,,700,900,24,"Right foot",70,70,"Ring finger",April,Spring,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",8,9,4,"Yes - broadband connection","Text messaging",107,113,0,.5,2.5,5,10,0,7,9,4,2,0,0,Some,"Graduate degree",Pop,Telepathy,Famous,Other,Health
USA,NE,2012,"9         ",Male,15,Left-Handed,168,26.5,178.5,1,Car,5,.338,47,Basketball,800,900,400,300,1000,1000,26,"Right foot",80,72,"Index finger",June,Fall,No,No,Meat,Water,"Mathematics and statistics",8,10,5,"Yes - broadband connection","Text messaging",100,100,20,1,6,6,15,1,1,2,2,4,8,2,Some,"High school","Rap/Hip hop","Freeze time",Rich,"Sports person",Religious
USA,TN,2015,"12        ",Male,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2015,"6         ",Male,11,Right-Handed,178,25,185,1,Car,2,.344,62,Walking/Hiking,722,775,701,845,701,727,28,"Left foot",30,35,"Same length",October,Fall,No,No,"No favorite",Water,"Mathematics and statistics",6,6,6,"Yes - broadband connection","In person",0,0,10,0,1,5,6,10,2,0,10,3,0,3,Some,"Some college",Classical,Telepathy,Healthy,Other,"Wildlife, animals"
USA,OH,2013,"12        ",Male,17,Right-Handed,180,28,180,1,Car,5,.221,30,Baseball/Softball,600,750,700,800,850,900,27,"Right foot",85,82,"Index finger",July,Fall,Yes,No,Meat,Water,"Mathematics and statistics",7,8,2,"Yes - broadband connection","Text messaging",0,0,15,2,2,10,10,1,1,3,3,10,16,2,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Friend,Other
USA,TN,2017,"12        ",Male,17,Right-Handed,178,27,184,1,Car,22,0.736,61,Baseball/Softball,500,800,350,460,205,1000,27,"Same length",106,110,"Ring finger",May,Summer,No,No,Meat,Water,Science,8,6,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",2,4,16,3,8,5,5,3,10,7,12,8,0,0,None,"Undergraduate degree","Rap/Hip hop",Fly,Rich,"Sports person","Arts, culture, sports"
USA,CA,2018,"6         ",Female,11,Right-Handed,152,24,145,1,Car,15,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,PA,2019,"4         ",Male,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GA,2014,"11        ",Male,17,Ambidextrous,180,30,190,1,Bus,35,0.387,49,Basketball,1000,200,600,500,1000,1000,30,"Same length",10,12,"Ring finger",September,Summer,No,No,Meat,Water,English,6,9,4,"Yes - other","Cell phone",50,100,60,4,20,5,8,3,20,7,20,4,0,4,None,"Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person",Health
USA,MI,2017,"12        ",Male,18,Right-Handed,167,24.5,175,1,Car,8,,,"Martial Arts",500,400,1000,600,700,800,24.5,"Same length",9.9,10.1,"Ring finger",September,Fall,No,No,Pizza/Pasta,Water,Other,3.5,7,2,"Yes - other","Text messaging",100,101,14,7,10,10,10,10,10,10,10,10,10,10,Some,"Graduate degree",Other,"Freeze time",Rich,Actor,"Education/Youth development"
USA,CA,2012,"12        ",Male,17,Right-Handed,165,27,169,3,Car,10,0.361,35,Dancing,799,899,999,989,959,969,27,"Same length",78,90,,April,Summer,No,No,Meat,Water,"Mathematics and statistics",6,9,7,"Yes - other","Text messaging","110 ",,,,,,,,,,,,,,,,,,,,
USA,MI,2016,"12        ",Male,16,Right-Handed,187,28,186,1,Bus,45,.34,44,Walking/Hiking,348,80,251,540,422,765,27,"Right foot",86,85,"Index finger",March,Fall,No,No,"Rice/Noodle dishes",Juice,Other,8,8,5,"Yes - broadband connection","In person",0,0,4,0,0,2,1,4,1,3,4,1,0,0,Some,"Some college",Techno/Electronic,Fly,Happy,Friend,Environment
USA,NC,2013,"9         ",Female,14,Right-Handed,177,120,175,1,Bus,30,0.6,35,Athletics,1000,1000,1000,914,1000,1000,,,100,90,"Index finger",November,Summer,No,No,Seafood,Water,"Physical education",8,8,4,"Yes - dial-up connection","In person",0,0,0,2,1,294,9,0,0,0,2,24,3,5,Some,"Graduate degree",Gospel,Invisibility,Healthy,"Religious figure",Health
USA,CA,2019,"12        ",Male,16,Right-Handed,190,33,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,DE,2016,"12        ",Male,18,Right-Handed,172.7,27.3,178,2,Car,20,.7,20,Other,0,0,0,0,1000,1000,27.3,"Same length",80,80,"Same length",July,Summer,Yes,No,"No favorite","Soft drink (caffeinated)",Art,6.5,12,5,"Yes - broadband connection","Text messaging",50,60,7,1,4,7,7,5,3,3,3,3,0,0,"A lot","High school","Rap/Hip hop",Fly,Rich,Other,"Arts, culture, sports"
USA,OK,2018,"12        ",Female,17,Right-Handed,162,23,164,1,Bus,20,0.768,40,Swimming,1000,1000,1000,1000,50,500,23,"Same length",70,70,"Same length",August,Winter,Yes,No,Pizza/Pasta,Tea,Other,6,10,6,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",37,40,5,1,7,60,20,10,10,10,20,45,0,4,"A lot","Graduate degree",Pop,"Freeze time",Happy,"Religious figure","Wildlife, animals"
USA,DC,2010,"6         ",Female,12,Right-Handed,160,23,160,1,Car,20,0.529,41,"Martial Arts",353,128,150,,1000,1000,23,"Same length",60,80,"Ring finger",May,Spring,Yes,No,Breads/Sandwiches,"Soft drink (caffeinated)",English,8,11,2,"Yes - broadband connection","In person",0,0,3,5,5,6,3,3,3,3,2,5,0,4,"Very little","Less than high school","Rap/Hip hop",Telepathy,Healthy,Teacher,"Education/Youth development"
USA,SC,2012,"11        ",Male,17,Right-Handed,174,28,180,1,Car,17,.620,42,Basketball,1000,800,1000,,500,500,27,"Right foot",80,85,"Ring finger",January,Winter,No,No,Seafood,Milk,History,7,10,5,"Yes - dial-up connection","Text messaging",200,200,15,1,10,10,10,5,1,3,1,1,0,5,"A lot","Graduate degree",Classical,"Freeze time",Healthy,"Sports person",Religious
USA,VA,2015,"12        ",Male,17,Right-Handed,180,28,160,19,Car,15,.3484,37.33,Soccer,600,500,1000,800,1000,1000,27,"Right foot",90,84,"Index finger",April,Fall,No,No,Seafood,Other,"Computers and technology",6,6,4,"Yes - broadband connection","Text messaging",450,450,4,0,3,2,3,4,1,6,6,1,17,1,"Very little","Graduate degree","Rap/Hip hop",Invisibility,Happy,Friend,"Wildlife, animals"
USA,NC,2017,"12        ",Male,17,Right-Handed,174,26,,1,Car,10,.379,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,GA,2016,"9         ",Female,14,Right-Handed,152,22,,2,Car,5,.32,35,Baseball/Softball,40,75,85,70,35,90,22,"Same length",7,7,"Same length",March,Spring,No,No,Pizza/Pasta,"Sports drink","Physical education",8,9,4,"Yes - other","Text messaging",50,70,70,3,7,120,70,2,100,110,4,100,0,10,Some,"Graduate degree",Pop,Telepathy,Healthy,"Sports person",Religious
USA,NE,2018,"9         ",Female,14,Right-Handed,,,156.2,2,Car,12,0.,,Dancing,,,,,,,,,,,,December,Fall,No,No,"No favorite",Water,Art,8,5,5,"Yes - broadband connection","Text messaging",85,66,5,12,5,1,0.5,0,40,45,100,5,0,0,Some,"Graduate degree",Pop,Fly,Happy,Friend,"International aid"
USA,TX,2019,"8         ",Male,12,Right-Handed,149,24,149,1,Bus,28,.500,51,Swimming,800,700,400,100,900,900,24,"Same length",90,71,"Index finger",May,Spring,No,No,Seafood,Water,Science,11,7,4,"Yes - broadband connection","Internet chat or instant messaging",5,21,1,1,6,5,1,48,1,10,1,4,0,0,None,"Graduate degree",Techno/Electronic,"Freeze time",Happy,Other,Environment
USA,PA,2019,"12        ",Female,21,Right-Handed,165.1,24,165,1,Walk,4,.331,32,Soccer,,,,,,,,"Same length",,,"Ring finger",February,Spring,No,Yes,Pizza/Pasta,"Soft drink (non-caffeinated)",Music,7,8,1,"Yes - broadband connection","Text messaging",,,,,,,,,,,,,,,"A lot","Graduate degree",Other,Telepathy,Happy,Relative,"Education/Youth development"
USA,CA,2014,"12        ",Female,16,Ambidextrous,168,25,167,1,Car,10,.345,32,Baseball/Softball,791,791,1000,866,513,775,25,"Same length",70,70,"Same length",November,Spring,Yes,No,Breads/Sandwiches,Water,"Physical education",6,8,7,"Yes - broadband connection","Cell phone",99,101,20,3,0,20,15,0,5,5,10,5,0,3,Some,"Some college",Country,Fly,Happy,"Sports person",Health
USA,IL,2014,"6         ",Female,11,Right-Handed,152,40,148,2,Bus,10,0.578,45,Tennis,1000,1000,500,500,1000,1000,24,"Right foot",2,4,"Ring finger",July,Summer,No,No,Seafood,Water,"Physical education",8,13,4,"Yes - other","In person",50,100,4,7,10,2,30,0,2,1,3,45,0,0,"A lot","Graduate degree",Classical,Fly,Famous,"Religious figure",Religious
USA,NC,2014,"7         ",Female,13,Right-Handed,167,21,156,2.5,Bus,30,60,30,Baseball/Softball,1000,1000,1000,1000,1000,1000,21,"Same length",8,7,"Index finger",February,Summer,Yes,No,Seafood,Other,Art,8,5,4,"No internet connection","Myspace, Facebook, other social networking sites, or blog",10,0,0,5.5,2,1,5,0,3,4,0,2,0,24,"Very little",Other,"Rap/Hip hop",Telepathy,Happy,"Doctor or nurse",Health
USA,OH,2011,"6         ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,10,7,120,120,5,3,58,4,85,0,5,Some,"Graduate degree","Rap/Hip hop",Invisibility,Healthy,"Religious figure",Religious
USA,FL,2019,"12        ",Female,17,Right-Handed,165,24,162,1,Car,12,.809,46,Athletics,500,700,600,700,600,800,25,"Left foot",75,65,"Index finger",May,Fall,Yes,No,Pizza/Pasta,Water,English,8,10,4,"Yes - broadband connection","In person",350,348,30,15,12,8,4,0,20,10,15,4,16,2,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,Health
USA,VA,2015,"12        ",Female,18,Right-Handed,165.1,16.51,172,1,Car,7,.323,34,None,551,353,722,840,449,444,16.51,"Same length",7.5,7.6,"Ring finger",December,Summer,No,No,"No favorite",Water,Other,7,6,3,"Yes - dial-up connection","In person",100,100,100,24,5,80,0,0,50,165,60,10,10,15,"Very little",Other,Other,Fly,Happy,Other,Other
USA,WI,2018,"11        ",Male,17,Right-Handed,184,26,169,1,Car,3,0.371,30,Bowling,794,620,380,187,551,754,26,"Same length",90,95,"Ring finger",January,Winter,No,No,Meat,"Soft drink (caffeinated)",Music,7,8,5,"Yes - broadband connection",,2,1,10,1,3,1,2,40,32,1,25,0,10,0,"Very little","Some college","Heavy metal","Super strength",Happy,Relative,"Arts, culture, sports"
USA,PA,2019,"12        ",Male,16,Right-Handed,183,"27 ",190,1,Bus,23,.713,52,Baseball/Softball,850,900,250,250,400,1000,26.5,"Right foot",100,9.5,"Ring finger",September,Fall,No,No,Pizza/Pasta,Coffee,Science,6,10,5,"Yes - broadband connection","Text messaging",100,150,12,1,7,10,7,3,25,15,30,3,20,2,Some,"Graduate degree","Heavy metal",Telepathy,Happy,Relative,"Wildlife, animals"
USA,DC,2010,"12        ",Female,22,Right-Handed,158,23.2,154,1,Car,20,.797,1.14,Baseball/Softball,1000,829,1000,,775,1000,23,"Right foot",61,63,"Ring finger",August,Summer,No,No,Seafood,Tea,"Mathematics and statistics",5,7,6,"Yes - broadband connection","Cell phone",10,10,1,2,1,2,0,0,0,2,3,1,3,2,"Very little","Some college","Rap/Hip hop","Super strength",Healthy,"Musician or singer",Other
USA,AR,2016,"8         ",Male,13,Right-Handed,158,23,163,1,Car,15,495,41,Other,700,700,400,500,0,0,22,"Right foot",7.7,8.3,"Ring finger",January,Winter,No,No,Meat,Water,English,10,11,6,"No internet connection","In person",1,1,24,.10,4,30,3,15,0,.5,.5,15,0,1,Some,"Graduate degree",Other,"Freeze time",Happy,"Religious figure",Religious
USA,DE,2013,"12        ",Male,18,Ambidextrous,180.3,30.48,180.3,3,Skateboard/Scooter/Rollerblade,60,.0001,12,Bowling,0,0,0,0,0,11,180.2,"Same length",2,2,"Same length",June,Fall,Yes,Yes,Seafood,"Powdered drink","Physical education",1,2,30,"Yes - dial-up connection",Telephone,,30,0,0,0,0,0,0,0,22,80,100,0,36,"A lot","Less than high school",Jazz,Invisibility,Rich,"Business person","Wildlife, animals"
USA,MO,2018,"7         ",Male,13,Left-Handed,170,27,169,2,Bicycle,10,.719,72,"Football (American)",100,100,100,100,100,100,27,"Same length",65,75,"Ring finger",March,Summer,Yes,No,Meat,Tea,"Physical education",6,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2019,"7         ",Male,12,Right-Handed,175,26.67,177,1,Car,10,0.308,31,Swimming,1000,1000,800,900,1000,1000,25.4,"Right foot",75,90,"Ring finger",October,Summer,No,No,"No favorite",Water,History,10,12,4,"Yes - other","Text messaging",0,0,3,1,5,20,8,10,0,0,7,5,0,5,Some,"Graduate degree",,"Super strength",Happy,Other,"Education/Youth development"
USA,CA,2018,"11        ",Male,17,Right-Handed,170,25,162,2,Car,12,.296,38,Walking/Hiking,850,750,850,850,600,750,25,"Same length",7.2,7.4,"Ring finger",October,Summer,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",7,9,6,"Yes - broadband connection","In person",10,10,5,0,7,7,0,10,10,1,35,0,0,7,Some,"Graduate degree",Pop,"Freeze time",Happy,Relative,"International aid"
USA,CA,2017,"12        ",Female,16,Right-Handed,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,PA,2012,"12        ",Female,17,Left-Handed,163,23,156,2,Bus,7,.313,33,Other,765,759,759,636,1000,1000,22,"Right foot",83,67,"Index finger",December,Fall,No,No,"Rice/Noodle dishes",Water,Music,5,7,4,"Yes - dial-up connection","Cell phone",2,3,4,3,40,4,2,0,2,1,14,2,0,1,"A lot","Graduate degree",Classical,"Freeze time",Happy,"Religious figure",Religious
USA,CO,2015,"12        ",Female,17,Right-Handed,160,23,,1,Car,15,.786,,Dancing,100,100,100,100,600,700,22,"Right foot",50,55,"Ring finger",November,Winter,No,No,Pizza/Pasta,Tea,English,8,8,4,"Yes - broadband connection","Text messaging",20,30,15,7,10,6,4,0,20,10,5,7,15,2,"A lot","Graduate degree",Country,"Freeze time",Healthy,"Sports person","Education/Youth development"
USA,IN,2016,"12        ",Female,17,Right-Handed,175,24,170,1,Car,11,.396,30,None,1000,1000,1000,1000,1000,1000,25,"Left foot",80,70,"Index finger",March,Fall,No,No,Pizza/Pasta,Water,English,6,8,4,"Yes - other","Text messaging",80,78,6,1,2,4,1,10,10,10,24,8,19,3,"A lot","Some college","Rock and roll",Fly,Rich,Relative,"Wildlife, animals"
USA,WI,2016,"7         ",Female,"12 ",Left-Handed,5,,,1,Bus,20,0.676,66,Tennis,500,300,300,800,200,700,,,,,,,Fall,No,No,Pizza/Pasta,"Powdered drink",Music,8,12,3,"Yes - other","Text messaging",1000,1000,5,2,1,1,2,3,7,0,"5 ",1,0,1,None,"Undergraduate degree","Rap/Hip hop",Telepathy,Rich,Relative,"Wildlife, animals"
USA,MT,2015,"6         ",Female,12,Right-Handed,146,25,150,1,Walk,5,0.434,68,Swimming,900,900,500,800,700,500,25,"Same length",80,70,"Index finger",October,Fall,No,No,Meat,Juice,Science,8,10,4,"Yes - broadband connection","Internet chat or instant messaging",0,0,4,0,2,1,3,2,4,5,1,1,1,1,Some,"Graduate degree",Pop,"Freeze time",Happy,"Community leader or elder",Health
USA,PA,2010,"5         ",Female,10,Right-Handed,149,23,141,1,Car,10,0.5,0.47,Basketball,7,5,1000,,1000,1000,23,"Same length",141,8,"Index finger",August,Winter,No,No,Desserts,Juice,Music,9,10,5,"Yes - dial-up connection",Telephone,0,0,4,1,0,1,5,3,3,0,3,4,0,0,Some,"Some college","Rap/Hip hop",Invisibility,Rich,"Sports person","Arts, culture, sports"
USA,NY,2017,"6         ",Male,12,Right-Handed,163,26,156,1,Bus,30,0.485,42,Soccer,1000,1000,1000,850,300,800,24,"Right foot",70,60,"Index finger",March,Summer,Yes,No,Salads,Tea,"Mathematics and statistics",9.5,7,4,"Yes - broadband connection","Text messaging",25,100,4,1,14,9.5,8,3,5,1,8,5,0,0,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Business person","Wildlife, animals"
USA,IN,2016,"8         ",Male,14,Right-Handed,174.5,28,182,1,Car,35,,,Baseball/Softball,,,,,,,28,"Same length",80,90,"Ring finger",June,Summer,No,No,Meat,Water,"Physical education",8,11,6,"Yes - broadband connection","Cell phone",25,27,,,,,,,,,,,,,,,,,,,
USA,OR,2012,"12        ",Female,17,Left-Handed,166,26,167,1,Car,10,0.406,47,Swimming,912,867,834,919,603,486,25,"Right foot",82,87,"Ring finger",April,Summer,No,No,Pizza/Pasta,Water,Science,7,9,4,"Yes - broadband connection","Text messaging",20,18,30,2,5,2,2,0,4,3,2,20,0,3,Some,"Undergraduate degree",Pop,"Freeze time",Healthy,Relative,Health
USA,IN,2016,"8         ",Male,14,Right-Handed,148,24,158,2,Bus,5,0.47,31,Other,1000,1000,1000,1000,1000,1000,24,"Same length",80,70,"Index finger",June,Summer,No,No,Fruit,Milk,Languages,8,6,6,"No internet connection","In person",0,0,3,0,3,5,3,0,0,0,0,0,0,2,"Very little","Less than high school",Country,Fly,Healthy,"Religious figure","International aid"
USA,CA,2019,"11        ",Female,18,Right-Handed,54,21,141,3,Walk,20,0.342,38,Dancing,738,647,620,674,572,572,21,"Same length",7,6,"Index finger",December,Fall,No,No,"Rice/Noodle dishes",Water,Art,6,8,4,"Yes - other","In person",35,40,5,14,4,8,18,1,1,1,4,0,4,0,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,Friend,"Wildlife, animals"
USA,IN,2016,"8         ",Female,14,Right-Handed,161,22,61,2,Bus,5,0.373,34,Swimming,540,385,449,422,84,65,22,"Same length",105,110,"Ring finger",July,Summer,No,No,Pizza/Pasta,Water,English,8,9.5,4,"No internet connection","In person",0,0,5,3.5,3,1,1,0,0,0,0,0,0,2.5,Some,"Less than high school",Other,Fly,Rich,Teacher,"International aid"
USA,MO,2012,"8         ",,,,,,158,1,Car,8,1.101,52,Dancing,100,100,100,100,100,100,23,"Right foot",64,66,"Ring finger",June,Summer,Yes,No,Meat,Water,"Mathematics and statistics",10,11,3,"Yes - broadband connection","In person",0,0,40,1,2,55,45,5,0,0,6,10,0,10,Some,"Graduate degree",Country,"Freeze time",Happy,"Doctor or nurse",Health
USA,IL,2014,"6         ",Female,12,Right-Handed,157,23,158.5,2,Car,3,0.594,53,Basketball,1000,1000,1000,1000,572,390,23,"Same length",90,90,"Same length",October,Summer,Yes,No,Meat,Water,"Physical education",9.5,7,5,"Yes - other","Cell phone",55,100,56,14,8,80,160,5,10,10,10,11,2,5,"Very little","Graduate degree",Pop,"Freeze time",Happy,"Coach or club leader",Religious
USA,MO,2017,"12        ",Female,17,Right-Handed,170,23,172,3,Car,8,0.35,37,Dancing,1000,954,876,849,780,700,24,"Left foot",71,79,"Ring finger",January,Spring,Yes,No,Seafood,Water,Other,7,10,4,"Yes - broadband connection","Text messaging",87,103,7,2,30,5,11,0,11,9,13,3,7,5,"A lot","Graduate degree",Pop,"Freeze time",Happy,Relative,"Education/Youth development"
USA,IN,2014,"12        ",Female,18,Right-Handed,161,24,152,1,Bus,20,.891,49,Other,1000,990,999,999,999,999,21,"Right foot",60,70,"Ring finger",July,Fall,No,No,Salads,Water,Music,5,8,4,"Yes - broadband connection","Text messaging",25,25,3,0,4,9,4,0,20,20,20,3,0,3,"A lot","Graduate degree",Classical,Invisibility,Happy,Friend,"Arts, culture, sports"
USA,CA,2015,"7         ",Male,13,Right-Handed,166,29,125,1,Car,30,0.363,62,Swimming,1000,500,1000,250,700,500,29,"Same length",7,6.5,"Index finger",September,Summer,No,No,Meat,Water,History,9,7,4,"Yes - other","In person",0,0,2,0,3,1,4,6,1,0,6,1,0,3,"Very little","Undergraduate degree",Techno/Electronic,Invisibility,Happy,Other,"Wildlife, animals"
USA,KS,2019,"12        ",Male,18,Left-Handed,182.9,30.48,172.7,1,Car,5,.712,48,Baseball/Softball,900,500,600,600,400,400,29,"Right foot",80,85,,July,Spring,Yes,No,Seafood,Water,Science,7,10,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",10,20,8,2,4,2,20,2,10,1,4,1,20,4,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person",Health
USA,DC,2014,"8         ",Female,14,,411,,,,Bus,,,43,Basketball,0,32,27,80,0,86,,"Same length",,,"Index finger",June,Summer,Yes,,Pizza/Pasta,"Sports drink",Music,,,8,"Yes - broadband connection","Cell phone",50,50,7,100,10,100,10,5,100,100,100,2,0,100,Some,"Graduate degree","Rap/Hip hop",,Famous,"Musician or singer","Arts, culture, sports"
USA,DE,2018,"12        ",Male,17,Right-Handed,185.4,27,177.8,1,Car,5,0.726,39,Basketball,1000,1000,1000,1000,0,1000,27,"Right foot",7,8,"Ring finger",September,Summer,Yes,No,Poultry,Water,Other,6,12,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,25,10,1,10,1,5,5,5,,50,,,,"A lot","Some college","Rap/Hip hop",Invisibility,Rich,"Sports person","Wildlife, animals"
USA,MO,2017,"12        ",Male,19,Right-Handed,163,25,156,2,Walk,2,0.334,39,Soccer,500,800,950,900,950,1000,25,"Same length",80,90,"Ring finger",July,Fall,No,No,Meat,Water,"Mathematics and statistics",7.5,9,8,"Yes - broadband connection","Text messaging",5,6,50,0.5,5,0,10,0,1.5,0.5,10,0,0,0,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Coach or club leader",Health
USA,FL,2014,"12        ",Male,17,Right-Handed,173,26,170,2,Car,8,.308,40,"Football (American)",1000,1000,500,500,100,200,27,"Left foot",90,80,"Index finger",November,Winter,Yes,No,Meat,Tea,"Computers and technology",5,8,9,"Yes - broadband connection","Text messaging",4,4,8,2,7,2,10,6,5,1,4,2,0,0,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Friend,"Education/Youth development"
USA,WA,2016,"6         ",Female,11,Right-Handed,151,24,158,3,Car,"5 ",0.469,"82 ",Swimming,,,,,,,23,"Left foot",85,90,"Ring finger",January,Winter,No,No,Meat,Water,Geography,9,12,3,"Yes - other","In person",0,400,7,1,2,4,1,0,2,1,1,4,1,0,"Very little",Other,Pop,Invisibility,Happy,Other,"International aid"
USA,CA,2015,"12        ",Male,16,Right-Handed,177.8,25.7,75,2,Car,35,.426,27,Tennis,32,34,33,2,726,46,25.0,"Left foot",74,77,"Ring finger",August,Summer,No,No,Meat,Water,History,5.5,10,5,"Yes - broadband connection","In person",150,175,1,1,15,3,15,1,3,5,10,8,0,10,"A lot","Graduate degree",Pop,"Freeze time",Healthy,"Business person","International aid"
USA,NY,2016,"12        ",Female,18,Right-Handed,163,23,159,2,"Rail (Train/Tram/Subway)",63,.55,77,Other,,800,7000,,,,23,"Right foot",89,91,"Ring finger",June,Fall,Yes,No,Fruit,Water,"Physical education",5,9,6,"Yes - broadband connection","In person",37,34,6,1,21,12,3,0,9,17,40,2,12,3,"A lot","Graduate degree",Other,Invisibility,Happy,Friend,"International aid"
